Version,Filename,NR,NAUTHORS,LOC,LOC_ADDED,AVGLOCADDED,MAXLOCADDED,LOCTOUCHED,CHURN,AVGCHURN,MAXCHURN,NPBM,NPVM,NSM,NAM,LOCM,BUGGY
1.0.0-incubating,client/src/main/java/org/apache/syncope/client/to/PolicyTO.java,2,2,53,53,"26,5",53,53,0,0,0,5,0,0,5,16,NO
1.0.0-incubating,client/src/main/java/org/apache/syncope/client/to/PropagationTO.java,3,2,125,137,"45,67",125,149,0,0,0,8,0,0,8,66,NO
1.0.0-incubating,client/src/main/java/org/apache/syncope/client/to/PropagationTaskTO.java,5,2,98,133,"26,6",98,147,21,"4,2",20,14,0,0,14,16,NO
1.0.0-incubating,client/src/main/java/org/apache/syncope/client/to/ReportExecTO.java,2,2,40,40,20,40,40,0,0,0,3,0,0,3,16,NO
1.0.0-incubating,client/src/main/java/org/apache/syncope/client/to/ReportTO.java,3,3,169,169,"56,33",141,169,28,"9,33",28,24,0,0,24,16,NO
1.0.0-incubating,client/src/main/java/org/apache/syncope/client/to/ResourceTO.java,7,2,235,292,"41,71",235,344,35,5,12,36,0,0,36,28,NO
1.0.0-incubating,client/src/main/java/org/apache/syncope/client/to/RoleTO.java,3,2,177,208,"69,33",177,209,30,10,30,25,0,1,25,25,NO
1.0.0-incubating,client/src/main/java/org/apache/syncope/client/to/SchedTaskTO.java,3,3,74,94,"31,33",74,94,20,"6,67",20,8,0,0,8,16,NO
1.0.0-incubating,client/src/main/java/org/apache/syncope/client/to/SchemaMappingTO.java,2,1,115,115,"57,5",115,115,0,0,0,14,0,0,14,36,NO
1.0.0-incubating,client/src/main/java/org/apache/syncope/client/to/SchemaTO.java,5,3,134,150,30,124,176,22,"4,4",11,20,0,0,20,16,NO
1.0.0-incubating,client/src/main/java/org/apache/syncope/client/to/SyncPolicyTO.java,2,2,49,49,"24,5",49,49,0,0,0,2,0,0,2,16,NO
1.0.0-incubating,client/src/main/java/org/apache/syncope/client/to/SyncTaskTO.java,4,2,104,119,"29,75",104,124,10,"2,5",10,16,0,0,16,16,NO
1.0.0-incubating,client/src/main/java/org/apache/syncope/client/to/TaskExecTO.java,2,2,34,34,17,34,34,0,0,0,2,0,0,2,16,NO
1.0.0-incubating,client/src/main/java/org/apache/syncope/client/to/TaskTO.java,3,3,101,101,"33,67",72,101,29,"9,67",29,12,0,0,12,16,NO
1.0.0-incubating,client/src/main/java/org/apache/syncope/client/to/UserRequestTO.java,2,2,84,84,42,84,84,0,0,0,10,0,0,10,16,NO
1.0.0-incubating,client/src/main/java/org/apache/syncope/client/to/UserTO.java,4,3,213,214,"53,5",213,247,32,8,32,27,0,0,28,16,NO
1.0.0-incubating,client/src/main/java/org/apache/syncope/client/to/VirtualSchemaTO.java,3,2,34,36,12,34,47,9,3,9,2,0,0,2,16,NO
1.0.0-incubating,client/src/main/java/org/apache/syncope/client/to/WorkflowDefinitionTO.java,2,2,46,46,23,46,46,0,0,0,4,0,0,4,16,NO
1.0.0-incubating,client/src/main/java/org/apache/syncope/client/to/WorkflowFormPropertyTO.java,2,2,133,133,"66,5",133,133,0,0,0,19,0,0,19,16,NO
1.0.0-incubating,client/src/main/java/org/apache/syncope/client/to/WorkflowFormTO.java,3,3,151,152,"50,67",151,153,0,0,0,16,0,0,16,16,NO
1.0.0-incubating,client/src/main/java/org/apache/syncope/client/util/AttributableOperations.java,7,3,399,452,"64,57",370,493,41,"5,86",29,5,4,9,9,61,NO
1.0.0-incubating,client/src/main/java/org/apache/syncope/client/util/XMLSerializer.java,3,1,63,70,"23,33",63,74,3,1,3,2,0,2,2,21,NO
1.0.0-incubating,client/src/main/java/org/apache/syncope/client/validation/SyncopeClientCompositeErrorException.java,3,3,96,103,"34,33",96,105,5,"1,67",5,7,0,0,7,16,NO
1.0.0-incubating,client/src/main/java/org/apache/syncope/client/validation/SyncopeClientErrorHandler.java,3,2,93,94,"31,33",93,95,0,0,0,1,0,0,1,19,NO
1.0.0-incubating,client/src/main/java/org/apache/syncope/client/validation/SyncopeClientException.java,2,2,75,75,"37,5",75,75,0,0,0,8,0,0,8,16,NO
1.0.0-incubating,client/src/main/java/org/apache/syncope/types/AbstractPolicySpec.java,2,2,29,29,"14,5",29,29,0,0,0,0,0,0,0,16,NO
1.0.0-incubating,client/src/main/java/org/apache/syncope/types/AccountPolicySpec.java,2,2,175,175,"87,5",175,175,0,0,0,20,0,0,20,50,NO
1.0.0-incubating,client/src/main/java/org/apache/syncope/types/AttributableType.java,4,2,27,32,8,27,37,10,"2,5",5,0,0,0,0,16,NO
1.0.0-incubating,client/src/main/java/org/apache/syncope/types/AuditElements.java,4,2,244,248,62,244,252,0,0,0,0,0,0,0,16,NO
1.0.0-incubating,client/src/main/java/org/apache/syncope/types/AuditLoggerName.java,5,2,98,108,"21,6",98,116,2,"0,4",2,4,0,1,4,16,NO
1.0.0-incubating,client/src/main/java/org/apache/syncope/types/CipherAlgorithm.java,3,3,37,42,14,37,44,3,1,3,1,0,0,1,16,NO
1.0.0-incubating,client/src/main/java/org/apache/syncope/types/ConflictResolutionAction.java,2,2,31,31,"15,5",31,31,0,0,0,0,0,0,0,20,NO
1.0.0-incubating,client/src/main/java/org/apache/syncope/types/ConnConfPropSchema.java,4,3,107,119,"29,75",97,126,15,"3,75",10,15,0,0,15,16,NO
1.0.0-incubating,client/src/main/java/org/apache/syncope/types/ConnConfProperty.java,3,2,66,81,27,66,89,7,"2,33",7,7,0,0,7,16,NO
1.0.0-incubating,client/src/main/java/org/apache/syncope/types/ConnParameterType.java,2,2,37,37,"18,5",37,37,0,0,0,1,0,0,1,19,NO
1.0.0-incubating,client/src/main/java/org/apache/syncope/types/ConnectorCapability.java,2,2,35,35,"17,5",35,35,0,0,0,0,0,0,0,19,NO
1.0.0-incubating,client/src/main/java/org/apache/syncope/types/EntityViolationType.java,5,2,69,100,20,69,131,0,0,0,2,0,0,2,17,NO
