@relation WalkForward_3_BOOKKEEPER_TRAINING-SET_R[4.2.1]-weka.filters.unsupervised.attribute.Remove-R2

@attribute Version {4.0.0,4.1.0,4.2.0,4.2.1}
@attribute NR numeric
@attribute NAUTHORS numeric
@attribute LOC numeric
@attribute LOC_ADDED numeric
@attribute AVGLOCADDED numeric
@attribute MAXLOCADDED numeric
@attribute LOCTOUCHED numeric
@attribute CHURN numeric
@attribute AVGCHURN numeric
@attribute MAXCHURN numeric
@attribute NPBM numeric
@attribute NPVM numeric
@attribute NSM numeric
@attribute NAM numeric
@attribute LOCM numeric
@attribute BUGGY {YES,NO}

@data
4.2.0,0,0,98,0,0,0,0,0,0,0,4,0,2,5,15,NO
4.2.0,0,0,143,0,0,0,0,0,0,0,10,0,1,10,46,NO
4.2.0,0,0,43,0,0,0,0,0,0,0,3,0,2,3,15,NO
4.2.0,0,0,42,0,0,0,0,0,0,0,2,0,0,2,15,NO
4.2.0,0,0,56,0,0,0,0,0,0,0,3,0,3,3,19,NO
4.2.0,1,1,44,0,0,0,0,0,0,0,1,0,0,1,31,NO
4.2.0,1,1,26,0,0,0,0,0,0,0,1,0,1,1,15,NO
4.2.0,0,0,51,0,0,0,0,0,0,0,2,0,1,2,29,NO
4.2.0,1,1,41,0,0,0,0,0,0,0,1,0,0,1,15,NO
4.2.0,1,1,104,0,0,0,0,0,0,0,8,0,0,8,16,NO
4.2.0,1,1,54,0,0,0,0,0,0,0,2,0,0,2,16,NO
4.2.0,6,2,254,63,10.5,22,76,50,8.333333,20,3,1,2,4,23,YES
4.2.0,14,2,16883,12633,902.3571,4082,14906,10362,740.1429,2691,878,88,123,994,358,YES
4.2.0,1,1,74,0,0,0,0,0,0,0,1,0,1,1,15,NO
4.2.0,0,0,153,0,0,0,0,0,0,0,6,0,6,6,30,NO
4.2.0,3,2,68,26,8.666667,18,27,25,8.333333,18,4,0,4,4,18,NO
4.2.0,1,1,100,0,0,0,0,0,0,0,5,0,5,5,20,NO
4.2.0,6,2,549,332,55.333332,223,515,185,30.833334,117,25,1,1,30,125,YES
4.2.0,1,1,437,12,12,12,12,12,12,12,5,1,3,7,51,YES
4.2.0,8,2,1033,149,18.625,83,306,98,12.25,45,32,2,2,42,55,YES
4.2.0,1,1,101,11,11,11,13,9,9,9,1,2,0,3,21,NO
4.2.0,2,1,331,23,11.5,18,70,24,12,24,1,0,0,7,54,YES
4.2.0,1,1,123,0,0,0,0,0,0,0,3,0,0,3,23,NO
4.2.0,2,1,106,0,0,0,0,0,0,0,3,0,0,5,17,YES
4.2.0,2,1,106,0,0,0,0,0,0,0,3,0,1,3,15,YES
4.2.0,2,1,93,0,0,0,0,0,0,0,3,0,1,3,15,YES
4.2.0,0,0,101,0,0,0,0,0,0,0,3,0,1,3,18,NO
4.2.0,1,1,38,0,0,0,0,0,0,0,1,0,1,1,17,YES
