Version,Filename,NR,NAUTHORS,LOC,LOC_ADDED,AVGLOCADDED,MAXLOCADDED,LOCTOUCHED,CHURN,AVGCHURN,MAXCHURN,BUGGY
4.0.0,hedwig-server\src\main\java\org\apache\hedwig\server\common\ServerConfiguration.java,2,2,289,1,0.5,289,291,0,0.0,0,YES
4.0.0,hedwig-server\src\main\java\org\apache\hedwig\server\common\TerminateJVMExceptionHandler.java,2,2,32,4,2.0,31,38,1,0.5,1,YES
4.0.0,hedwig-server\src\main\java\org\apache\hedwig\server\common\TopicOpQueuer.java,1,1,111,0,0.0,111,111,0,0.0,0,NO
4.0.0,hedwig-server\src\main\java\org\apache\hedwig\server\common\UnexpectedError.java,2,2,35,1,0.5,35,37,0,0.0,0,NO
4.0.0,hedwig-server\src\main\java\org\apache\hedwig\server\delivery\ChannelEndPoint.java,1,1,81,0,0.0,81,81,0,0.0,0,YES
4.0.0,hedwig-server\src\main\java\org\apache\hedwig\server\delivery\DeliveryCallback.java,1,1,27,0,0.0,27,27,0,0.0,0,NO
4.0.0,hedwig-server\src\main\java\org\apache\hedwig\server\delivery\DeliveryEndPoint.java,1,1,28,0,0.0,28,28,0,0.0,0,NO
4.0.0,hedwig-server\src\main\java\org\apache\hedwig\server\delivery\DeliveryManager.java,2,2,29,1,0.5,29,31,0,0.0,0,YES
4.0.0,hedwig-server\src\main\java\org\apache\hedwig\server\delivery\FIFODeliveryManager.java,4,3,566,39,9.75,561,634,5,1.25,4,YES
4.0.0,hedwig-server\src\main\java\org\apache\hedwig\server\handlers\BaseHandler.java,2,2,64,16,8.0,64,96,0,0.0,0,NO
4.0.0,hedwig-server\src\main\java\org\apache\hedwig\server\handlers\ChannelDisconnectListener.java,2,2,29,1,0.5,29,31,0,0.0,0,NO
4.0.0,hedwig-server\src\main\java\org\apache\hedwig\server\handlers\ConsumeHandler.java,2,2,64,1,0.5,64,66,0,0.0,0,NO
4.0.0,hedwig-server\src\main\java\org\apache\hedwig\server\handlers\Handler.java,2,2,37,3,1.5,37,43,0,0.0,0,NO
4.0.0,hedwig-server\src\main\java\org\apache\hedwig\server\handlers\PublishHandler.java,2,2,68,11,5.5,68,90,0,0.0,0,YES
4.0.0,hedwig-server\src\main\java\org\apache\hedwig\server\handlers\SubscribeHandler.java,3,2,154,12,4.0,153,176,1,0.33333334,1,YES
4.0.0,hedwig-server\src\main\java\org\apache\hedwig\server\handlers\UnsubscribeHandler.java,2,2,72,1,0.5,72,74,0,0.0,0,YES
4.0.0,hedwig-server\src\main\java\org\apache\hedwig\server\netty\PubSubServer.java,6,3,385,36,6.0,364,415,21,3.5,7,YES
4.0.0,hedwig-server\src\main\java\org\apache\hedwig\server\netty\PubSubServerPipelineFactory.java,2,2,76,2,1.0,76,80,0,0.0,0,NO
4.0.0,hedwig-server\src\main\java\org\apache\hedwig\server\netty\UmbrellaHandler.java,3,2,159,5,1.6666666,158,167,1,0.33333334,1,NO
4.0.0,hedwig-server\src\main\java\org\apache\hedwig\server\persistence\BookkeeperPersistenceManager.java,3,2,737,150,50.0,736,1035,1,0.33333334,1,YES
4.0.0,hedwig-server\src\main\java\org\apache\hedwig\server\persistence\CacheKey.java,2,2,74,2,1.0,74,78,0,0.0,0,NO
4.0.0,hedwig-server\src\main\java\org\apache\hedwig\server\persistence\CacheValue.java,3,2,94,4,1.3333334,93,100,1,0.33333334,1,NO
4.0.0,hedwig-server\src\main\java\org\apache\hedwig\server\persistence\Factory.java,1,1,22,0,0.0,22,22,0,0.0,0,NO
4.0.0,hedwig-server\src\main\java\org\apache\hedwig\server\persistence\LocalDBPersistenceManager.java,3,2,427,13,4.3333335,426,451,1,0.33333334,1,YES
4.0.0,hedwig-server\src\main\java\org\apache\hedwig\server\persistence\MapMethods.java,1,1,62,0,0.0,62,62,0,0.0,0,NO
4.0.0,hedwig-server\src\main\java\org\apache\hedwig\server\persistence\PersistRequest.java,2,2,58,1,0.5,58,60,0,0.0,0,NO
4.0.0,hedwig-server\src\main\java\org\apache\hedwig\server\persistence\PersistenceManager.java,2,2,91,5,2.5,91,101,0,0.0,0,NO
4.0.0,hedwig-server\src\main\java\org\apache\hedwig\server\persistence\PersistenceManagerWithRangeScan.java,2,2,27,1,0.5,27,29,0,0.0,0,NO
4.0.0,hedwig-server\src\main\java\org\apache\hedwig\server\persistence\RangeScanRequest.java,2,2,77,2,1.0,77,81,0,0.0,0,NO
4.0.0,hedwig-server\src\main\java\org\apache\hedwig\server\persistence\ReadAheadCache.java,3,2,704,39,13.0,703,780,1,0.33333334,1,YES
4.0.0,hedwig-server\src\main\java\org\apache\hedwig\server\persistence\ScanCallback.java,2,2,63,4,2.0,63,71,0,0.0,0,NO
4.0.0,hedwig-server\src\main\java\org\apache\hedwig\server\persistence\ScanCallbackWithContext.java,1,1,37,0,0.0,37,37,0,0.0,0,NO
4.0.0,hedwig-server\src\main\java\org\apache\hedwig\server\persistence\ScanRequest.java,2,2,64,1,0.5,64,66,0,0.0,0,NO
4.0.0,hedwig-server\src\main\java\org\apache\hedwig\server\proxy\ChannelTracker.java,2,2,124,3,1.5,124,130,0,0.0,0,NO
4.0.0,hedwig-server\src\main\java\org\apache\hedwig\server\proxy\HedwigProxy.java,4,2,160,8,2.0,159,174,1,0.25,1,YES
4.0.0,hedwig-server\src\main\java\org\apache\hedwig\server\proxy\ProxyConfiguration.java,2,2,36,5,2.5,36,46,0,0.0,0,YES
4.0.0,hedwig-server\src\main\java\org\apache\hedwig\server\proxy\ProxyConsumeHandler.java,2,2,58,3,1.5,57,62,1,0.5,1,NO
4.0.0,hedwig-server\src\main\java\org\apache\hedwig\server\proxy\ProxyPublishHander.java,1,1,62,0,0.0,62,62,0,0.0,0,NO
4.0.0,hedwig-server\src\main\java\org\apache\hedwig\server\proxy\ProxyStartDeliveryHandler.java,4,2,130,13,3.25,129,154,1,0.25,1,YES
4.0.0,hedwig-server\src\main\java\org\apache\hedwig\server\proxy\ProxyStopDeliveryHandler.java,2,2,74,3,1.5,73,78,1,0.5,1,YES
4.0.0,hedwig-server\src\main\java\org\apache\hedwig\server\proxy\ProxySubscribeHandler.java,3,2,83,4,1.3333334,82,89,1,0.33333334,1,NO
4.0.0,hedwig-server\src\main\java\org\apache\hedwig\server\proxy\ProxyUnsubscribeHandler.java,1,1,74,0,0.0,74,74,0,0.0,0,NO
4.0.0,hedwig-server\src\main\java\org\apache\hedwig\server\regions\HedwigHubClient.java,2,2,48,2,1.0,48,52,0,0.0,0,NO
4.0.0,hedwig-server\src\main\java\org\apache\hedwig\server\regions\HedwigHubClientFactory.java,2,2,60,1,0.5,60,62,0,0.0,0,NO
4.0.0,hedwig-server\src\main\java\org\apache\hedwig\server\regions\HedwigHubSubscriber.java,3,2,70,6,2.0,70,82,0,0.0,0,NO
4.0.0,hedwig-server\src\main\java\org\apache\hedwig\server\regions\RegionManager.java,4,2,183,22,5.5,180,221,3,0.75,2,YES
4.0.0,hedwig-server\src\main\java\org\apache\hedwig\server\ssl\SslServerContextFactory.java,1,1,53,0,0.0,53,53,0,0.0,0,NO
4.0.0,hedwig-server\src\main\java\org\apache\hedwig\server\subscriptions\AbstractSubscriptionManager.java,4,2,452,22,5.5,450,492,2,0.5,1,YES
4.0.0,hedwig-server\src\main\java\org\apache\hedwig\server\subscriptions\AllToAllTopologyFilter.java,1,1,39,0,0.0,39,39,0,0.0,0,NO
4.0.0,hedwig-server\src\main\java\org\apache\hedwig\server\subscriptions\InMemorySubscriptionManager.java,2,2,78,4,2.0,78,86,0,0.0,0,NO
4.0.0,hedwig-server\src\main\java\org\apache\hedwig\server\subscriptions\InMemorySubscriptionState.java,2,2,64,1,0.5,64,66,0,0.0,0,YES
4.0.0,hedwig-server\src\main\java\org\apache\hedwig\server\subscriptions\MessageFilter.java,2,2,31,1,0.5,31,33,0,0.0,0,NO
4.0.0,hedwig-server\src\main\java\org\apache\hedwig\server\subscriptions\SubscriptionEventListener.java,2,2,57,4,2.0,57,65,0,0.0,0,NO
4.0.0,hedwig-server\src\main\java\org\apache\hedwig\server\subscriptions\SubscriptionManager.java,2,2,104,7,3.5,104,118,0,0.0,0,YES
4.0.0,hedwig-server\src\main\java\org\apache\hedwig\server\subscriptions\TrueFilter.java,1,1,32,0,0.0,32,32,0,0.0,0,YES
4.0.0,hedwig-server\src\main\java\org\apache\hedwig\server\subscriptions\ZkSubscriptionManager.java,3,2,227,53,17.666666,226,331,25,8.333333,8,NO
4.0.0,hedwig-server\src\main\java\org\apache\hedwig\server\topics\AbstractTopicManager.java,4,3,197,21,5.25,187,219,10,2.5,9,YES
4.0.0,hedwig-server\src\main\java\org\apache\hedwig\server\topics\TopicManager.java,2,2,75,6,3.0,75,87,0,0.0,0,YES
4.0.0,hedwig-server\src\main\java\org\apache\hedwig\server\topics\TopicOwnershipChangeListener.java,1,1,28,0,0.0,28,28,0,0.0,0,NO
4.0.0,hedwig-server\src\main\java\org\apache\hedwig\server\topics\TrivialOwnAllTopicManager.java,2,2,52,2,1.0,52,56,0,0.0,0,YES
4.0.0,hedwig-server\src\main\java\org\apache\hedwig\server\topics\ZkTopicManager.java,3,2,429,78,26.0,428,583,63,21.0,20,YES
4.0.0,hedwig-server\src\main\java\org\apache\hedwig\zookeeper\SafeAsynBKCallback.java,2,2,104,30,15.0,104,164,0,0.0,0,NO
4.0.0,hedwig-server\src\main\java\org\apache\hedwig\zookeeper\SafeAsyncCallback.java,1,1,35,0,0.0,35,35,0,0.0,0,YES
4.0.0,hedwig-server\src\main\java\org\apache\hedwig\zookeeper\SafeAsyncZKCallback.java,2,2,98,1,0.5,98,100,0,0.0,0,NO
4.0.0,hedwig-server\src\main\java\org\apache\hedwig\zookeeper\ZkUtils.java,3,2,79,16,5.3333335,78,109,1,0.33333334,1,YES
4.0.0,hedwig-server\src\test\java\org\apache\hedwig\HelperMethods.java,2,2,58,3,1.5,57,62,1,0.5,1,NO
4.0.0,hedwig-server\src\test\java\org\apache\hedwig\StubCallback.java,1,1,51,0,0.0,51,51,0,0.0,0,NO
4.0.0,hedwig-server\src\test\java\org\apache\hedwig\StubScanCallback.java,1,1,57,0,0.0,57,57,0,0.0,0,NO
4.0.0,hedwig-server\src\test\java\org\apache\hedwig\client\TestPubSubClient.java,3,2,230,20,6.6666665,230,270,0,0.0,0,YES
4.0.0,hedwig-server\src\test\java\org\apache\hedwig\server\HedwigHubTestBase.java,3,2,134,5,1.6666666,133,142,1,0.33333334,1,YES
4.0.0,hedwig-server\src\test\java\org\apache\hedwig\server\HedwigRegionTestBase.java,4,2,222,9,2.25,221,238,1,0.25,1,YES
4.0.0,hedwig-server\src\test\java\org\apache\hedwig\server\PubSubServerStandAloneTestBase.java,2,2,62,3,1.5,61,66,1,0.5,1,YES
4.0.0,hedwig-server\src\test\java\org\apache\hedwig\server\TestPubSubServerStartup.java,3,2,129,5,1.6666666,128,137,1,0.33333334,1,YES
