PROJECT,TRAINING-RELEASES,TEST-RELEASE,CLASSIFIER,FEATURE-SELECTION,BALANCING,COST-SENSITIVE,%-TRAINING,PRECISION,RECALL,AUC,KAPPA,ACCURACY,TRUE-NEGATIVE,TRUE-POSITIVE,FALSE-POSITIVE,FALSE-NEGATIVE
BOOKKEEPER," 4.0.0",4.1.0,NATIVE_BAYES,NO_FEATURE_SELECTION,NO_BALANCING,NO_COST_SENSITIVE,44.36229205175601,0.0,0.0,0.14870842179759378,0.0,52.159468438538205,157.0,0.0,0.0,144.0
BOOKKEEPER," 4.0.0",4.1.0,NATIVE_BAYES,NO_FEATURE_SELECTION,NO_BALANCING,SENSITIVE_LEARNING,44.36229205175601,0.0,0.0,0.14870842179759378,0.0,52.159468438538205,157.0,0.0,0.0,144.0
BOOKKEEPER," 4.0.0",4.1.0,NATIVE_BAYES,NO_FEATURE_SELECTION,NO_BALANCING,SENSITIVE_THRESHOLD,44.36229205175601,0.0,0.0,0.5,0.0,52.159468438538205,157.0,0.0,0.0,144.0
BOOKKEEPER," 4.0.0",4.1.0,NATIVE_BAYES,NO_FEATURE_SELECTION,OVERSAMPLING,NO_COST_SENSITIVE,61.45966709346991,0.0,0.0,0.15443648266100496,0.0,52.159468438538205,157.0,0.0,0.0,144.0
BOOKKEEPER," 4.0.0",4.1.0,NATIVE_BAYES,NO_FEATURE_SELECTION,OVERSAMPLING,SENSITIVE_LEARNING,61.45966709346991,0.0,0.0,0.15443648266100496,0.0,52.159468438538205,157.0,0.0,0.0,144.0
BOOKKEEPER," 4.0.0",4.1.0,NATIVE_BAYES,NO_FEATURE_SELECTION,OVERSAMPLING,SENSITIVE_THRESHOLD,61.45966709346991,0.0,0.0,0.5,0.0,52.159468438538205,157.0,0.0,0.0,144.0
BOOKKEEPER," 4.0.0",4.1.0,NATIVE_BAYES,NO_FEATURE_SELECTION,UNDERSAMPLING,NO_COST_SENSITIVE,44.36229205175601,0.0,0.0,0.14870842179759378,0.0,52.159468438538205,157.0,0.0,0.0,144.0
BOOKKEEPER," 4.0.0",4.1.0,NATIVE_BAYES,NO_FEATURE_SELECTION,UNDERSAMPLING,SENSITIVE_LEARNING,44.36229205175601,0.0,0.0,0.14870842179759378,0.0,52.159468438538205,157.0,0.0,0.0,144.0
BOOKKEEPER," 4.0.0",4.1.0,NATIVE_BAYES,NO_FEATURE_SELECTION,UNDERSAMPLING,SENSITIVE_THRESHOLD,44.36229205175601,0.0,0.0,0.5,0.0,52.159468438538205,157.0,0.0,0.0,144.0
BOOKKEEPER," 4.0.0",4.1.0,NATIVE_BAYES,NO_FEATURE_SELECTION,SMOTE,NO_COST_SENSITIVE,61.45966709346991,0.0,0.0,0.23633227176220806,0.0,52.159468438538205,157.0,0.0,0.0,144.0
BOOKKEEPER," 4.0.0",4.1.0,NATIVE_BAYES,NO_FEATURE_SELECTION,SMOTE,SENSITIVE_LEARNING,61.45966709346991,0.0,0.0,0.23633227176220806,0.0,52.159468438538205,157.0,0.0,0.0,144.0
BOOKKEEPER," 4.0.0",4.1.0,NATIVE_BAYES,NO_FEATURE_SELECTION,SMOTE,SENSITIVE_THRESHOLD,61.45966709346991,0.0,0.0,0.5,0.0,52.159468438538205,157.0,0.0,0.0,144.0
BOOKKEEPER," 4.0.0",4.1.0,NATIVE_BAYES,BEST_FIRST,NO_BALANCING,NO_COST_SENSITIVE,44.36229205175601,0.0,0.0,0.5,0.0,52.159468438538205,157.0,0.0,0.0,144.0
BOOKKEEPER," 4.0.0",4.1.0,NATIVE_BAYES,BEST_FIRST,NO_BALANCING,SENSITIVE_LEARNING,44.36229205175601,0.0,0.0,0.5,0.0,52.159468438538205,157.0,0.0,0.0,144.0
BOOKKEEPER," 4.0.0",4.1.0,NATIVE_BAYES,BEST_FIRST,NO_BALANCING,SENSITIVE_THRESHOLD,44.36229205175601,0.0,0.0,0.5,0.0,52.159468438538205,157.0,0.0,0.0,144.0
BOOKKEEPER," 4.0.0",4.1.0,NATIVE_BAYES,BEST_FIRST,OVERSAMPLING,NO_COST_SENSITIVE,61.45966709346991,0.0,0.0,0.5,0.0,52.159468438538205,157.0,0.0,0.0,144.0
BOOKKEEPER," 4.0.0",4.1.0,NATIVE_BAYES,BEST_FIRST,OVERSAMPLING,SENSITIVE_LEARNING,61.45966709346991,0.0,0.0,0.5,0.0,52.159468438538205,157.0,0.0,0.0,144.0
BOOKKEEPER," 4.0.0",4.1.0,NATIVE_BAYES,BEST_FIRST,OVERSAMPLING,SENSITIVE_THRESHOLD,61.45966709346991,0.0,0.0,0.5,0.0,52.159468438538205,157.0,0.0,0.0,144.0
BOOKKEEPER," 4.0.0",4.1.0,NATIVE_BAYES,BEST_FIRST,UNDERSAMPLING,NO_COST_SENSITIVE,44.36229205175601,0.0,0.0,0.5,0.0,52.159468438538205,157.0,0.0,0.0,144.0
BOOKKEEPER," 4.0.0",4.1.0,NATIVE_BAYES,BEST_FIRST,UNDERSAMPLING,SENSITIVE_LEARNING,44.36229205175601,0.0,0.0,0.5,0.0,52.159468438538205,157.0,0.0,0.0,144.0
BOOKKEEPER," 4.0.0",4.1.0,NATIVE_BAYES,BEST_FIRST,UNDERSAMPLING,SENSITIVE_THRESHOLD,44.36229205175601,0.0,0.0,0.5,0.0,52.159468438538205,157.0,0.0,0.0,144.0
BOOKKEEPER," 4.0.0",4.1.0,NATIVE_BAYES,BEST_FIRST,SMOTE,NO_COST_SENSITIVE,61.45966709346991,0.0,0.0,0.5,0.0,52.159468438538205,157.0,0.0,0.0,144.0
BOOKKEEPER," 4.0.0",4.1.0,NATIVE_BAYES,BEST_FIRST,SMOTE,SENSITIVE_LEARNING,61.45966709346991,0.0,0.0,0.5,0.0,52.159468438538205,157.0,0.0,0.0,144.0
BOOKKEEPER," 4.0.0",4.1.0,NATIVE_BAYES,BEST_FIRST,SMOTE,SENSITIVE_THRESHOLD,61.45966709346991,0.0,0.0,0.5,0.0,52.159468438538205,157.0,0.0,0.0,144.0
BOOKKEEPER," 4.0.0 4.1.0",4.2.0,NATIVE_BAYES,NO_FEATURE_SELECTION,NO_BALANCING,NO_COST_SENSITIVE,55.204081632653065,0.4114713216957606,0.8461538461538461,0.6747057587221522,-0.1094495221084234,39.40774487471526,8.0,165.0,236.0,30.0
BOOKKEEPER," 4.0.0 4.1.0",4.2.0,NATIVE_BAYES,NO_FEATURE_SELECTION,NO_BALANCING,SENSITIVE_LEARNING,55.204081632653065,0.4117647058823529,0.8615384615384616,0.6747057587221522,-0.11000312508878095,39.17995444191344,4.0,168.0,240.0,27.0
BOOKKEEPER," 4.0.0 4.1.0",4.2.0,NATIVE_BAYES,NO_FEATURE_SELECTION,NO_BALANCING,SENSITIVE_THRESHOLD,55.204081632653065,0.4117647058823529,0.8615384615384616,0.43896595208070616,-0.11000312508878095,39.17995444191344,4.0,168.0,240.0,27.0
BOOKKEEPER," 4.0.0 4.1.0",4.2.0,NATIVE_BAYES,NO_FEATURE_SELECTION,OVERSAMPLING,NO_COST_SENSITIVE,66.61596958174906,0.4180929095354523,0.8769230769230769,0.6953026481715007,-0.08871135679533541,40.31890660592255,6.0,171.0,238.0,24.0
