Version,Filename,NR,NAUTHORS,LOC,LOC_ADDED,AVGLOCADDED,MAXLOCADDED,LOCTOUCHED,CHURN,AVGCHURN,MAXCHURN,NPBM,NPVM,NSM,NAM,LOCM,BUGGY
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ReadAheadCache.java,13,4,846,1083,"83,31",703,1320,165,"12,69",73,28,2,0,38,236,YES
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanCallback.java,2,2,63,67,"33,5",63,71,0,0,0,3,0,0,3,39,NO
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanCallbackWithContext.java,2,2,54,54,27,37,54,17,"8,5",17,4,0,0,4,16,NO
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanRequest.java,2,2,64,65,"32,5",64,66,0,0,0,4,0,0,4,26,NO
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ChannelTracker.java,3,3,132,136,"45,33",124,140,8,"2,67",8,8,1,0,9,17,NO
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/HedwigProxy.java,8,3,177,195,"24,38",159,213,18,"2,25",10,8,0,1,10,22,YES
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConfiguration.java,3,3,36,43,"14,33",36,50,0,0,0,2,0,0,2,16,YES
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConsumeHandler.java,2,2,58,60,30,57,62,1,"0,5",1,1,0,0,1,16,NO
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyPublishHander.java,1,1,62,62,62,62,62,0,0,0,3,0,0,3,15,NO
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStartDeliveryHandler.java,5,3,132,146,"29,2",129,160,3,"0,6",2,3,0,0,3,30,YES
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStopDeliveryHandler.java,3,3,74,77,"25,67",73,80,1,"0,33",1,1,0,0,1,19,YES
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxySubscribeHandler.java,3,2,83,86,"28,67",82,89,1,"0,33",1,4,0,0,4,15,NO
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyUnsubscribeHandler.java,1,1,74,74,74,74,74,0,0,0,3,0,0,3,18,NO
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubClient.java,2,2,48,50,25,48,52,0,0,0,0,0,0,0,26,NO
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubClientFactory.java,3,3,74,81,27,60,88,14,"4,67",14,1,0,0,2,24,NO
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubSubscriber.java,4,3,86,94,"23,5",70,102,16,4,16,6,0,0,6,23,NO
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/regions/RegionManager.java,9,4,355,477,53,241,599,189,21,174,16,3,0,19,44,YES
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/ssl/SslServerContextFactory.java,1,1,53,53,53,53,53,0,0,0,0,0,0,1,18,NO
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AbstractSubscriptionManager.java,18,3,798,970,"53,89",450,1142,388,"21,56",92,46,7,1,60,96,YES
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AllToAllTopologyFilter.java,3,2,75,83,"27,67",39,91,36,12,35,4,0,0,4,22,NO
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/InMemorySubscriptionManager.java,7,4,125,146,"20,86",78,167,47,"6,71",16,1,0,0,8,22,NO
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/InMemorySubscriptionState.java,9,4,200,218,"24,22",81,236,136,"15,11",77,11,0,0,11,36,YES
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/MessageFilter.java,3,3,0,32,"10,67",31,33,0,0,0,0,0,0,0,0,NO
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/SubscriptionEventListener.java,2,2,57,61,"30,5",57,65,0,0,0,2,0,0,2,40,NO
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/SubscriptionManager.java,5,3,123,133,"26,6",104,143,19,"3,8",15,8,0,0,8,89,YES
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/TrueFilter.java,3,2,0,33,11,32,34,0,0,0,0,0,0,0,0,YES
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/ZkSubscriptionManager.java,4,3,0,279,"69,75",226,331,1,"0,25",1,0,0,0,0,0,NO
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/topics/AbstractTopicManager.java,6,4,204,216,36,187,228,17,"2,83",9,13,1,0,17,40,YES
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/topics/TopicManager.java,3,3,80,86,"28,67",75,92,5,"1,67",5,4,0,0,4,54,YES
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/topics/TopicOwnershipChangeListener.java,1,1,28,28,28,28,28,0,0,0,2,0,0,2,15,NO
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/topics/TrivialOwnAllTopicManager.java,3,3,57,59,"19,67",52,61,5,"1,67",5,1,0,0,3,17,YES
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/topics/ZkTopicManager.java,6,3,340,601,"100,17",428,862,124,"20,67",106,17,0,0,19,41,YES
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsynBKCallback.java,2,2,104,134,67,104,164,0,0,0,10,0,0,10,15,NO
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsyncCallback.java,2,2,35,36,18,35,37,0,0,0,1,0,2,2,15,YES
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsyncZKCallback.java,2,2,98,99,"49,5",98,100,0,0,0,12,0,0,12,15,NO
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/zookeeper/ZkUtils.java,4,3,117,132,33,78,147,39,"9,75",38,6,0,3,6,20,NO
4.1.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchBookie.java,0,0,215,0,0,0,0,0,0,0,6,1,2,7,21,NO
4.1.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchReadThroughputLatency.java,0,0,271,0,0,0,0,0,0,0,5,2,3,7,17,NO
4.1.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchThroughputLatency.java,0,0,458,0,0,0,0,0,0,0,11,3,3,14,28,NO
4.1.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java,0,0,137,0,0,0,0,0,0,0,2,0,1,2,33,NO
4.1.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java,0,0,357,0,0,0,0,0,0,0,6,0,1,6,29,YES
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,0,0,1242,0,0,0,0,0,0,0,52,9,7,64,220,YES
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieBean.java,0,0,51,0,0,0,0,0,0,0,3,0,0,3,18,NO
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java,0,0,154,0,0,0,0,0,0,0,4,0,1,4,16,YES
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieMXBean.java,0,0,31,0,0,0,0,0,0,0,1,0,0,1,21,NO
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java,0,0,180,0,0,0,0,0,0,0,8,0,0,8,40,NO
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Cookie.java,0,0,260,0,0,0,0,0,0,0,3,3,5,9,30,NO
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java,0,0,551,0,0,0,0,0,0,0,8,6,0,20,136,YES
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/ExitCode.java,0,0,40,0,0,0,0,0,0,0,0,0,0,0,25,NO
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java,0,0,361,0,0,0,0,0,0,0,15,4,1,19,61,YES
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileSystemUpgrade.java,0,0,388,0,0,0,0,0,0,0,7,6,9,13,29,NO
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/GarbageCollectorThread.java,0,0,577,0,0,0,0,0,0,0,16,4,1,22,122,NO
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/HandleFactory.java,0,0,32,0,0,0,0,0,0,0,0,0,0,0,16,NO
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/HandleFactoryImpl.java,0,0,66,0,0,0,0,0,0,0,2,0,0,2,16,NO
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/InterleavedLedgerStorage.java,0,0,188,0,0,0,0,0,0,0,12,0,0,12,37,NO
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Journal.java,0,0,582,0,0,0,0,0,0,0,14,2,2,23,162,NO
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/JournalChannel.java,0,0,158,0,0,0,0,0,0,0,1,0,0,1,28,NO
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java,0,0,50,0,0,0,0,0,0,0,0,0,0,0,21,YES
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCacheBean.java,0,0,27,0,0,0,0,0,0,0,0,0,0,0,18,NO
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCacheImpl.java,0,0,928,0,0,0,0,0,0,0,31,14,2,46,142,YES
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCacheMXBean.java,0,0,60,0,0,0,0,0,0,0,7,0,0,7,39,NO
