PROJECT,TRAINING-RELEASES,TEST-RELEASE,CLASSIFIER,FEATURE-SELECTION,BALANCING,COST-SENSITIVE,%-TRAINING,PRECISION,RECALL,AUC,KAPPA,ACCURACY,TRUE-NEGATIVE,TRUE-POSITIVE,FALSE-POSITIVE,FALSE-NEGATIVE
SYNCOPE," 1.0.0-incubating",1.0.1-incubating,NATIVE_BAYES,BEST_FIRST,SMOTE,NO_COST_SENSITIVE,66.66666666666667,0.0,0.0,0.2508502024291498,0.0,97.3360655737705,475.0,0.0,0.0,13.0
SYNCOPE," 1.0.0-incubating",1.0.1-incubating,NATIVE_BAYES,BEST_FIRST,SMOTE,SENSITIVE_LEARNING,66.66666666666667,0.0,0.0,0.2508502024291498,0.0,97.3360655737705,475.0,0.0,0.0,13.0
SYNCOPE," 1.0.0-incubating",1.0.1-incubating,NATIVE_BAYES,BEST_FIRST,SMOTE,SENSITIVE_THRESHOLD,66.66666666666667,0.0,0.0,0.5,0.0,97.3360655737705,475.0,0.0,0.0,13.0
SYNCOPE," 1.0.0-incubating 1.0.1-incubating",1.0.3-incubating,NATIVE_BAYES,NO_FEATURE_SELECTION,NO_BALANCING,NO_COST_SENSITIVE,66.62116040955631,0.0,0.0,0.6892545411653692,0.0,96.31901840490798,471.0,0.0,0.0,18.0
SYNCOPE," 1.0.0-incubating 1.0.1-incubating",1.0.3-incubating,NATIVE_BAYES,NO_FEATURE_SELECTION,NO_BALANCING,SENSITIVE_LEARNING,66.62116040955631,0.0,0.0,0.6892545411653692,0.0,96.31901840490798,471.0,0.0,0.0,18.0
SYNCOPE," 1.0.0-incubating 1.0.1-incubating",1.0.3-incubating,NATIVE_BAYES,NO_FEATURE_SELECTION,NO_BALANCING,SENSITIVE_THRESHOLD,66.62116040955631,0.0,0.0,0.5,0.0,96.31901840490798,471.0,0.0,0.0,18.0
SYNCOPE," 1.0.0-incubating 1.0.1-incubating",1.0.3-incubating,NATIVE_BAYES,NO_FEATURE_SELECTION,OVERSAMPLING,NO_COST_SENSITIVE,79.93434550677063,0.0,0.0,0.6864236848313281,0.0,96.31901840490798,471.0,0.0,0.0,18.0
SYNCOPE," 1.0.0-incubating 1.0.1-incubating",1.0.3-incubating,NATIVE_BAYES,NO_FEATURE_SELECTION,OVERSAMPLING,SENSITIVE_LEARNING,79.93434550677063,0.0,0.0,0.6864236848313281,0.0,96.31901840490798,471.0,0.0,0.0,18.0
SYNCOPE," 1.0.0-incubating 1.0.1-incubating",1.0.3-incubating,NATIVE_BAYES,NO_FEATURE_SELECTION,OVERSAMPLING,SENSITIVE_THRESHOLD,79.93434550677063,0.0,0.0,0.5,0.0,96.31901840490798,471.0,0.0,0.0,18.0
SYNCOPE," 1.0.0-incubating 1.0.1-incubating",1.0.3-incubating,NATIVE_BAYES,NO_FEATURE_SELECTION,UNDERSAMPLING,NO_COST_SENSITIVE,0.8113590263691683,0.08771929824561403,0.5555555555555556,0.7347841472045293,0.09390510224339886,77.0961145194274,367.0,10.0,104.0,8.0
SYNCOPE," 1.0.0-incubating 1.0.1-incubating",1.0.3-incubating,NATIVE_BAYES,NO_FEATURE_SELECTION,UNDERSAMPLING,SENSITIVE_LEARNING,0.8113590263691683,0.08771929824561403,0.5555555555555556,0.7345482425100259,0.09390510224339886,77.0961145194274,367.0,10.0,104.0,8.0
SYNCOPE," 1.0.0-incubating 1.0.1-incubating",1.0.3-incubating,NATIVE_BAYES,NO_FEATURE_SELECTION,UNDERSAMPLING,SENSITIVE_THRESHOLD,0.8113590263691683,0.08771929824561403,0.5555555555555556,0.667374380750177,0.09390510224339886,77.0961145194274,367.0,10.0,104.0,8.0
SYNCOPE," 1.0.0-incubating 1.0.1-incubating",1.0.3-incubating,NATIVE_BAYES,NO_FEATURE_SELECTION,SMOTE,NO_COST_SENSITIVE,79.93434550677063,0.0,0.0,0.6998112762443973,0.0,96.31901840490798,471.0,0.0,0.0,18.0
SYNCOPE," 1.0.0-incubating 1.0.1-incubating",1.0.3-incubating,NATIVE_BAYES,NO_FEATURE_SELECTION,SMOTE,SENSITIVE_LEARNING,79.93434550677063,0.0,0.0,0.6998112762443973,0.0,96.31901840490798,471.0,0.0,0.0,18.0
SYNCOPE," 1.0.0-incubating 1.0.1-incubating",1.0.3-incubating,NATIVE_BAYES,NO_FEATURE_SELECTION,SMOTE,SENSITIVE_THRESHOLD,79.93434550677063,0.0,0.0,0.5,0.0,96.31901840490798,471.0,0.0,0.0,18.0
SYNCOPE," 1.0.0-incubating 1.0.1-incubating",1.0.3-incubating,NATIVE_BAYES,BEST_FIRST,NO_BALANCING,NO_COST_SENSITIVE,66.62116040955631,0.0,0.0,0.6892545411653692,0.0,96.31901840490798,471.0,0.0,0.0,18.0
SYNCOPE," 1.0.0-incubating 1.0.1-incubating",1.0.3-incubating,NATIVE_BAYES,BEST_FIRST,NO_BALANCING,SENSITIVE_LEARNING,66.62116040955631,0.0,0.0,0.6892545411653692,0.0,96.31901840490798,471.0,0.0,0.0,18.0
SYNCOPE," 1.0.0-incubating 1.0.1-incubating",1.0.3-incubating,NATIVE_BAYES,BEST_FIRST,NO_BALANCING,SENSITIVE_THRESHOLD,66.62116040955631,0.0,0.0,0.5,0.0,96.31901840490798,471.0,0.0,0.0,18.0
SYNCOPE," 1.0.0-incubating 1.0.1-incubating",1.0.3-incubating,NATIVE_BAYES,BEST_FIRST,OVERSAMPLING,NO_COST_SENSITIVE,79.93434550677063,0.0,0.0,0.6864236848313281,0.0,96.31901840490798,471.0,0.0,0.0,18.0
SYNCOPE," 1.0.0-incubating 1.0.1-incubating",1.0.3-incubating,NATIVE_BAYES,BEST_FIRST,OVERSAMPLING,SENSITIVE_LEARNING,79.93434550677063,0.0,0.0,0.6864236848313281,0.0,96.31901840490798,471.0,0.0,0.0,18.0
SYNCOPE," 1.0.0-incubating 1.0.1-incubating",1.0.3-incubating,NATIVE_BAYES,BEST_FIRST,OVERSAMPLING,SENSITIVE_THRESHOLD,79.93434550677063,0.0,0.0,0.5,0.0,96.31901840490798,471.0,0.0,0.0,18.0
SYNCOPE," 1.0.0-incubating 1.0.1-incubating",1.0.3-incubating,NATIVE_BAYES,BEST_FIRST,UNDERSAMPLING,NO_COST_SENSITIVE,0.8113590263691683,0.08771929824561403,0.5555555555555556,0.7347841472045293,0.09390510224339886,77.0961145194274,367.0,10.0,104.0,8.0
SYNCOPE," 1.0.0-incubating 1.0.1-incubating",1.0.3-incubating,NATIVE_BAYES,BEST_FIRST,UNDERSAMPLING,SENSITIVE_LEARNING,0.8113590263691683,0.08771929824561403,0.5555555555555556,0.7345482425100259,0.09390510224339886,77.0961145194274,367.0,10.0,104.0,8.0
SYNCOPE," 1.0.0-incubating 1.0.1-incubating",1.0.3-incubating,NATIVE_BAYES,BEST_FIRST,UNDERSAMPLING,SENSITIVE_THRESHOLD,0.8113590263691683,0.08771929824561403,0.5555555555555556,0.667374380750177,0.09390510224339886,77.0961145194274,367.0,10.0,104.0,8.0
SYNCOPE," 1.0.0-incubating 1.0.1-incubating",1.0.3-incubating,NATIVE_BAYES,BEST_FIRST,SMOTE,NO_COST_SENSITIVE,79.93434550677063,0.0,0.0,0.6998112762443973,0.0,96.31901840490798,471.0,0.0,0.0,18.0
