PROJECT,TRAINING-RELEASES,TEST-RELEASE,CLASSIFIER,FEATURE-SELECTION,BALANCING,COST-SENSITIVE,%-TRAINING,PRECISION,RECALL,AUC,KAPPA,ACCURACY,TRUE-NEGATIVE,TRUE-POSITIVE,FALSE-POSITIVE,FALSE-NEGATIVE
SYNCOPE," 1.0.0-incubating 1.0.1-incubating 1.0.3-incubating 1.0.2-incubating 1.0.4 1.0.5 1.0.6 1.0.7 1.1.0 1.0.8 1.1.1 1.1.2 1.1.3 1.1.4",1.1.5,RANDOM_FOREST,BEST_FIRST,UNDERSAMPLING,NO_COST_SENSITIVE,59.367396593673966,0.575,0.3333333333333333,0.8593549635866541,0.3746061939012066,90.5688622754491,582.0,23.0,17.0,46.0
SYNCOPE," 1.0.0-incubating 1.0.1-incubating 1.0.3-incubating 1.0.2-incubating 1.0.4 1.0.5 1.0.6 1.0.7 1.1.0 1.0.8 1.1.1 1.1.2 1.1.3 1.1.4",1.1.5,RANDOM_FOREST,BEST_FIRST,UNDERSAMPLING,SENSITIVE_LEARNING,59.367396593673966,0.3181818181818182,0.7101449275362319,0.8084609615058914,0.34618516662490595,81.2874251497006,494.0,49.0,105.0,20.0
SYNCOPE," 1.0.0-incubating 1.0.1-incubating 1.0.3-incubating 1.0.2-incubating 1.0.4 1.0.5 1.0.6 1.0.7 1.1.0 1.0.8 1.1.1 1.1.2 1.1.3 1.1.4",1.1.5,RANDOM_FOREST,BEST_FIRST,UNDERSAMPLING,SENSITIVE_THRESHOLD,59.367396593673966,0.125,0.9855072463768116,0.5954247417192906,0.04717534059782544,28.592814371257486,123.0,68.0,476.0,1.0
SYNCOPE," 1.0.0-incubating 1.0.1-incubating 1.0.3-incubating 1.0.2-incubating 1.0.4 1.0.5 1.0.6 1.0.7 1.1.0 1.0.8 1.1.1 1.1.2 1.1.3 1.1.4",1.1.5,RANDOM_FOREST,BEST_FIRST,SMOTE,NO_COST_SENSITIVE,95.55910118335328,0.4838709677419355,0.21739130434782608,0.7325373206551983,0.2521032596526023,89.52095808383234,583.0,15.0,16.0,54.0
SYNCOPE," 1.0.0-incubating 1.0.1-incubating 1.0.3-incubating 1.0.2-incubating 1.0.4 1.0.5 1.0.6 1.0.7 1.1.0 1.0.8 1.1.1 1.1.2 1.1.3 1.1.4",1.1.5,RANDOM_FOREST,BEST_FIRST,SMOTE,SENSITIVE_LEARNING,95.55910118335328,0.4305555555555556,0.4492753623188406,0.6134741477341463,0.37364098181645566,88.17365269461078,558.0,31.0,41.0,38.0
SYNCOPE," 1.0.0-incubating 1.0.1-incubating 1.0.3-incubating 1.0.2-incubating 1.0.4 1.0.5 1.0.6 1.0.7 1.1.0 1.0.8 1.1.1 1.1.2 1.1.3 1.1.4",1.1.5,RANDOM_FOREST,BEST_FIRST,SMOTE,SENSITIVE_THRESHOLD,95.55910118335328,0.1625441696113074,0.6666666666666666,0.6355036171396773,0.11424812068420372,61.07784431137725,362.0,46.0,237.0,23.0
SYNCOPE," 1.0.0-incubating 1.0.1-incubating 1.0.3-incubating 1.0.2-incubating 1.0.4 1.0.5 1.0.6 1.0.7 1.1.0 1.0.8 1.1.1 1.1.2 1.1.3 1.1.4 1.1.5",1.1.6,RANDOM_FOREST,NO_FEATURE_SELECTION,NO_BALANCING,NO_COST_SENSITIVE,92.58683830873377,0.0,0.0,0.9130262767465629,0.0,92.66467065868264,619.0,0.0,0.0,49.0
SYNCOPE," 1.0.0-incubating 1.0.1-incubating 1.0.3-incubating 1.0.2-incubating 1.0.4 1.0.5 1.0.6 1.0.7 1.1.0 1.0.8 1.1.1 1.1.2 1.1.3 1.1.4 1.1.5",1.1.6,RANDOM_FOREST,NO_FEATURE_SELECTION,NO_BALANCING,SENSITIVE_LEARNING,92.58683830873377,0.75,0.061224489795918366,0.9100755003132109,0.10327887581400623,92.96407185628742,618.0,3.0,1.0,46.0
SYNCOPE," 1.0.0-incubating 1.0.1-incubating 1.0.3-incubating 1.0.2-incubating 1.0.4 1.0.5 1.0.6 1.0.7 1.1.0 1.0.8 1.1.1 1.1.2 1.1.3 1.1.4 1.1.5",1.1.6,RANDOM_FOREST,NO_FEATURE_SELECTION,NO_BALANCING,SENSITIVE_THRESHOLD,92.58683830873377,0.3924050632911392,0.6326530612244898,0.7775543173650721,0.43303927368123296,90.11976047904191,571.0,31.0,48.0,18.0
SYNCOPE," 1.0.0-incubating 1.0.1-incubating 1.0.3-incubating 1.0.2-incubating 1.0.4 1.0.5 1.0.6 1.0.7 1.1.0 1.0.8 1.1.1 1.1.2 1.1.3 1.1.4 1.1.5",1.1.6,RANDOM_FOREST,NO_FEATURE_SELECTION,OVERSAMPLING,NO_COST_SENSITIVE,95.88872476612507,0.5,0.02040816326530612,0.8471695624938183,0.033656117146906,92.66467065868264,618.0,1.0,1.0,48.0
