Version,Filename,NR,NAUTHORS,LOC,LOC_ADDED,AVGLOCADDED,MAXLOCADDED,LOCTOUCHED,CHURN,AVGCHURN,MAXCHURN,NPBM,NPVM,NSM,NAM,LOCM,BUGGY
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/MacDigestManager.java,1,1,84,0,0,0,0,0,0,0,0,0,1,2,15,NO
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingAddOp.java,2,2,169,1,"0,5",1,2,0,0,0,1,0,0,1,36,NO
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingReadOp.java,3,2,189,16,"5,33",15,17,15,5,15,5,1,0,6,34,NO
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadLastConfirmedOp.java,5,2,127,54,"10,8",37,87,21,"4,2",14,4,0,0,4,25,NO
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadOnlyLedgerHandle.java,1,1,79,0,0,0,0,0,0,0,6,0,0,6,23,NO
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/RoundRobinDistributionSchedule.java,1,1,90,0,0,0,0,0,0,0,4,0,0,4,25,NO
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/SyncCounter.java,0,0,85,0,0,0,0,0,0,0,0,0,0,4,19,NO
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/AbstractConfiguration.java,2,2,113,0,0,0,1,1,"0,5",1,7,0,0,7,53,NO
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ClientConfiguration.java,3,2,276,39,13,30,40,38,"12,67",30,16,0,0,16,145,NO
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ServerConfiguration.java,6,2,549,160,"26,67",110,170,160,"26,67",110,41,0,0,41,251,NO
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/jmx/BKMBeanInfo.java,1,1,27,0,0,0,0,0,0,0,0,0,0,0,18,NO
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/jmx/BKMBeanRegistry.java,2,1,88,5,"2,5",5,6,4,2,4,1,0,1,4,33,NO
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/AbstractZkLedgerManager.java,4,3,283,35,"8,75",23,40,30,"7,5",23,5,1,0,10,93,NO
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/FlatLedgerManager.java,2,2,175,7,"3,5",7,35,21,"10,5",21,9,0,0,9,48,NO
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/HierarchicalLedgerManager.java,4,2,507,24,6,15,58,22,"5,5",16,20,5,0,26,140,NO
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerLayout.java,1,1,209,0,0,0,0,0,0,0,7,2,2,9,58,NO
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManager.java,1,1,147,0,0,0,0,0,0,0,10,0,0,10,100,NO
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManagerFactory.java,1,1,98,0,0,0,0,0,0,0,1,0,1,1,32,NO
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/SnapshotMap.java,1,1,132,0,0,0,0,0,0,0,3,0,0,3,47,NO
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BKStats.java,1,1,236,0,0,0,0,0,0,0,16,0,1,16,70,NO
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieClient.java,3,2,227,48,16,26,50,46,"15,33",26,12,0,1,16,26,NO
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieProtocol.java,3,2,172,15,5,10,17,13,"4,33",8,0,0,1,1,85,NO
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServer.java,9,2,507,92,"10,22",34,129,55,"6,11",29,13,4,4,20,54,NO
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServerBean.java,1,1,90,0,0,0,0,0,0,0,8,0,0,8,18,NO
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServerMXBean.java,1,1,58,0,0,0,0,0,0,0,6,0,0,6,36,NO
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookkeeperInternalCallbacks.java,0,0,132,0,0,0,0,0,0,0,2,1,0,3,48,NO
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/NIOServerFactory.java,4,1,529,8,2,5,20,4,1,3,19,5,0,24,101,NO
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java,10,3,694,178,"17,8",48,280,92,"9,2",43,18,1,0,19,122,NO
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/ServerStats.java,0,0,148,0,0,0,0,0,0,0,20,0,4,22,13,NO
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerInputStream.java,0,0,174,0,0,0,0,0,0,0,4,1,0,5,54,NO
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerOutputStream.java,0,0,148,0,0,0,0,0,0,0,5,1,0,6,47,NO
