Version,Filename,NR,NAUTHORS,LOC,LOC_ADDED,AVGLOCADDED,MAXLOCADDED,LOCTOUCHED,CHURN,AVGCHURN,MAXCHURN,NPBM,NPVM,NSM,NAM,LOCM,BUGGY
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeResponseHandler.java,6,3,336,414,69.0,329,492,7,1.1666666,3,5,0,0,7,144,YES
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/UnsubscribeResponseHandler.java,4,2,84,93,23.25,83,102,1,0.25,1,1,0,0,1,28,NO
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/ClientChannelPipelineFactory.java,3,2,58,63,21.0,58,68,0,0.0,0,1,0,0,1,18,NO
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/ConnectCallback.java,4,2,123,130,32.5,122,137,1,0.25,1,1,0,0,1,47,YES
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigClientImpl.java,1,1,369,369,369.0,369,369,0,0.0,0,16,1,4,19,139,YES
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigPublisher.java,5,2,231,243,48.6,224,255,7,1.4,6,3,0,0,5,86,YES
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigSubscriber.java,4,2,586,645,161.25,585,704,1,0.25,1,21,3,0,29,170,YES
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/ResponseHandler.java,5,2,366,390,78.0,365,414,1,0.2,1,9,0,0,9,128,YES
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/WriteCallback.java,4,2,99,108,27.0,98,117,1,0.25,1,1,0,0,1,36,YES
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslClientContextFactory.java,1,1,41,41,41.0,41,41,0,0.0,0,0,0,0,1,16,NO
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslContextFactory.java,2,2,66,79,39.5,65,92,1,0.5,1,5,0,0,7,18,NO
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/conf/AbstractConfiguration.java,3,3,54,55,18.333334,45,56,9,3.0,9,2,0,0,2,24,NO
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/util/Callback.java,2,2,47,51,25.5,47,55,0,0.0,0,2,0,0,2,31,NO
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/util/CallbackUtils.java,4,3,183,203,50.75,185,223,2,0.5,2,15,1,7,16,59,NO
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/util/ConcurrencyUtils.java,1,1,49,49,49.0,49,49,0,0.0,0,2,0,2,2,15,NO
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/util/Either.java,1,1,50,50,50.0,50,50,0,0.0,0,2,0,0,2,15,NO
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/util/FileUtils.java,2,2,98,100,50.0,97,102,1,0.5,1,4,0,2,5,15,NO
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/util/HedwigSocketAddress.java,1,1,138,138,138.0,138,138,0,0.0,0,9,0,1,9,46,YES
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/util/Option.java,1,1,43,43,43.0,43,43,0,0.0,0,3,0,2,3,15,NO
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/util/Pair.java,1,1,42,42,42.0,42,42,0,0.0,0,2,0,0,2,15,NO
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/util/PathUtils.java,1,1,56,56,56.0,56,56,0,0.0,0,3,0,3,3,19,YES
4.0.0,hedwig-protocol/src/main/java/org/apache/hedwig/exceptions/PubSubException.java,2,2,162,163,81.5,162,164,0,0.0,0,4,0,1,4,25,YES
